num_agent_words,seed,best_word,pairwise_max,pairwise_min,pairwise_mean,pairwise_std,centroid_mean,centroid_std,centroid_min,centroid_max,intra_group_variance,best_margin,best_min_pos,best_max_neg,n_agents_total,n_innocents_total,n_agents_selected,decoder_top_k,decoder_top_k_str,matches_count,matches_rate,matches_words,matches_words_str,selected_agent_words,selected_agent_words_str,first_match_rank,leading_matches_prefix
2,42,polonaise,0.2270607054233551,0.2270607054233551,0.2270607054233551,0.0,0.7832818627357483,1.7881393432617188e-07,0.783281683921814,0.7832820415496826,0.2167181372642517,0.03327298164367676,0.26636257767677307,0.2330895960330963,9,16,2,"['music', 'lawhotel']",music|lawhotel,2,1.0,"['music', 'lawhotel']",music|lawhotel,"['music', 'lawhotel']",music|lawhotel,1,2
2,43,cab,0.3682226836681366,0.3682226836681366,0.3682226836681366,0.0,0.827110230922699,5.960464477539063e-08,0.8271101713180542,0.8271102905273438,0.17288976907730103,0.15125948190689087,0.4992230236530304,0.3479635417461395,9,16,2,"['branch', 'chair']",branch|chair,2,1.0,"['branch', 'chair']",branch|chair,"['chair', 'branch']",chair|branch,1,2
2,44,headfish,0.2831757664680481,0.2831757664680481,0.2831757664680481,0.0,0.8009918928146362,2.107342425006209e-07,0.8009916543960571,0.8009920716285706,0.19900810718536377,0.15387555956840515,0.49093547463417053,0.3370599150657654,9,16,2,"['head', 'dolphin']",head|dolphin,2,1.0,"['head', 'dolphin']",head|dolphin,"['dolphin', 'head']",dolphin|head,1,2
2,45,lifelike,0.3789098858833313,0.3789098858833313,0.3789098858833313,0.0,0.8303343653678894,5.960464477539063e-08,0.8303343057632446,0.8303344249725342,0.1696656346321106,0.09084722399711609,0.37151864171028137,0.2806714177131653,9,16,2,"['dream', 'body']",dream|body,2,1.0,"['dream', 'body']",dream|body,"['body', 'dream']",body|dream,1,2
2,46,sundried,0.2264503836631775,0.2264503836631775,0.2264503836631775,0.0,0.7830870151519775,0.0,0.7830870151519775,0.7830870151519775,0.21691298484802246,0.051422834396362305,0.3300408720970154,0.2786180377006531,9,16,2,"['sun', 'grape']",sun|grape,2,1.0,"['sun', 'grape']",sun|grape,"['sun', 'grape']",sun|grape,1,2
2,47,incomputable,0.1798352748155594,0.1798352748155594,0.1798352748155594,0.0,0.7680608034133911,9.42432194506182e-08,0.7680607438087463,0.7680609226226807,0.2319391965866089,0.06709961593151093,0.3070531189441681,0.23995350301265717,9,16,2,"['enormous', 'computer']",enormous|computer,2,1.0,"['enormous', 'computer']",enormous|computer,"['computer', 'enormous']",computer|enormous,1,2
2,48,camera,0.3276474177837372,0.3276474177837372,0.3276474177837372,0.0,0.8147538900375366,9.42432194506182e-08,0.8147538304328918,0.8147540092468262,0.18524610996246338,0.08366146683692932,0.4298761487007141,0.3462146818637848,9,16,2,"['image', 'cat']",image|cat,2,1.0,"['image', 'cat']",image|cat,"['image', 'cat']",image|cat,1,2
2,49,constant,0.36206358671188354,0.36206358671188354,0.36206358671188354,0.0,0.8252466917037964,2.107342425006209e-07,0.8252464532852173,0.8252468705177307,0.1747533082962036,0.12904828786849976,0.4884077310562134,0.3593594431877136,9,16,2,"['force', 'dot']",force|dot,1,0.5,['force'],force,"['force', 'coin']",force|coin,1,1
2,50,performance,0.43565794825553894,0.43565794825553894,0.43565794825553894,0.0,0.847247838973999,4.214684778958144e-08,0.847247838973999,0.8472478985786438,0.15275216102600098,0.1065315306186676,0.44199079275131226,0.33545926213264465,9,16,2,"['table', 'goal']",table|goal,1,0.5,['goal'],goal,"['goal', 'sport']",goal|sport,2,0
2,51,inherent,0.2164137214422226,0.2164137214422226,0.2164137214422226,0.0,0.7798764109611511,5.960464477539063e-08,0.7798763513565063,0.7798764705657959,0.22012358903884888,0.0575251579284668,0.3057759404182434,0.2482507824897766,9,16,2,"['soul', 'back']",soul|back,2,1.0,"['soul', 'back']",soul|back,"['back', 'soul']",back|soul,1,2
3,42,dalmatia,0.2762773931026459,0.2270607054233551,0.2569906711578369,0.021455833688378334,0.710394561290741,0.010067597962915897,0.7013447880744934,0.7244384288787842,0.28960543870925903,0.002831593155860901,0.22547683119773865,0.22264523804187775,9,16,3,"['nectarine', 'music', 'lawhotel']",nectarine|music|lawhotel,2,0.6666666666666666,"['music', 'lawhotel']",music|lawhotel,"['music', 'lawhotel', 'camp']",music|lawhotel|camp,2,0
3,43,board,0.4084206223487854,0.2858160436153412,0.3541531264781952,0.05103224515914917,0.7546094059944153,0.022542478516697884,0.7306379079818726,0.7847959995269775,0.24539059400558472,0.08053275942802429,0.46739068627357483,0.38685792684555054,9,16,3,"['chair', 'branch', 'picture']",chair|branch|picture,3,1.0,"['chair', 'branch', 'picture']",chair|branch|picture,"['chair', 'branch', 'picture']",chair|branch|picture,1,3
3,44,hydrophobia,0.2831757664680481,0.1573803871870041,0.2339164763689041,0.05485822260379791,0.6994838714599609,0.02614225260913372,0.6760097146034241,0.7359565496444702,0.30051612854003906,0.03384411334991455,0.2600783705711365,0.22623425722122192,9,16,3,"['hunger', 'dolphin', 'head']",hunger|dolphin|head,3,1.0,"['hunger', 'dolphin', 'head']",hunger|dolphin|head,"['dolphin', 'head', 'hunger']",dolphin|head|hunger,1,3
3,45,cosmea,0.3789098858833313,0.29718413949012756,0.33833810687065125,0.03336693346500397,0.7475908398628235,0.01487751118838787,0.7295008897781372,0.7659404277801514,0.2524091601371765,0.04512038826942444,0.32292643189430237,0.27780604362487793,9,16,3,"['galaxy', 'body', 'dream']",galaxy|body|dream,3,1.0,"['galaxy', 'body', 'dream']",galaxy|body|dream,"['body', 'dream', 'galaxy']",body|dream|galaxy,1,3
3,46,radian,0.2264503836631775,0.2197546660900116,0.22410358488559723,0.0030783743131905794,0.6947919726371765,0.001476951059885323,0.6936659812927246,0.6968784928321838,0.3052080273628235,0.029608994722366333,0.2929588854312897,0.26334989070892334,9,16,3,"['square', 'direction', 'grape']",square|direction|grape,2,0.6666666666666666,"['direction', 'grape']",direction|grape,"['sun', 'grape', 'direction']",sun|grape|direction,2,0
