num_agent_words,seed,best_word,pairwise_max,pairwise_min,pairwise_mean,pairwise_std,centroid_mean,centroid_std,centroid_min,centroid_max,intra_group_variance,best_margin,best_min_pos,best_max_neg,n_agents_total,n_innocents_total,n_agents_selected,decoder_top_k,decoder_top_k_str,matches_count,matches_rate,matches_words,matches_words_str,selected_agent_words,selected_agent_words_str,first_match_rank,leading_matches_prefix
2,42,eyeliner,0.9991568326950073,0.9991568326950073,0.9991568326950073,0.0,0.9997889995574951,5.960464477539063e-08,0.9997889399528503,0.9997890591621399,0.0002110004425048828,0.00015079975128173828,0.9987837076187134,0.9986329078674316,9,16,2,"['alley', 'nectarine']",alley|nectarine,2,1.0,"['alley', 'nectarine']",alley|nectarine,"['alley', 'nectarine']",alley|nectarine,1,2
2,43,riled,0.9992631077766418,0.9992631077766418,0.9992631077766418,0.0,0.999815821647644,0.0,0.999815821647644,0.999815821647644,0.00018417835235595703,0.00012099742889404297,0.9984786510467529,0.9983576536178589,9,16,2,"['rooster', 'branch']",rooster|branch,2,1.0,"['rooster', 'branch']",rooster|branch,"['branch', 'rooster']",branch|rooster,1,2
2,44,quenched,0.9993700981140137,0.9993700981140137,0.9993700981140137,0.0,0.9998424053192139,4.214684778958144e-08,0.9998424053192139,0.9998424649238586,0.0001575946807861328,0.00032806396484375,0.9988594055175781,0.9985313415527344,9,16,2,"['revealed', 'squid']",revealed|squid,2,1.0,"['revealed', 'squid']",revealed|squid,"['squid', 'revealed']",squid|revealed,1,2
2,45,bream,0.9991983771324158,0.9991983771324158,0.9991983771324158,0.0,0.9997996091842651,0.0,0.9997996091842651,0.9997996091842651,0.00020039081573486328,0.00019925832748413086,0.9992130398750305,0.9990137815475464,9,16,2,"['cabin', 'giant']",cabin|giant,2,1.0,"['cabin', 'giant']",cabin|giant,"['cabin', 'giant']",cabin|giant,1,2
2,46,undrape,0.9993124008178711,0.9993124008178711,0.9993124008178711,0.0,0.9998281002044678,0.0,0.9998281002044678,0.9998281002044678,0.00017189979553222656,0.0002472400665283203,0.998627245426178,0.9983800053596497,9,16,2,"['grape', 'cherry']",grape|cherry,2,1.0,"['grape', 'cherry']",grape|cherry,"['grape', 'cherry']",grape|cherry,1,2
2,47,Peach,0.999568521976471,0.999568521976471,0.999568521976471,0.0,0.999891996383667,1.1920928955078125e-07,0.9998918771743774,0.9998921155929565,0.00010800361633300781,0.00023347139358520508,0.9994871020317078,0.9992536306381226,9,16,2,"['coffee', 'juice']",coffee|juice,2,1.0,"['coffee', 'juice']",coffee|juice,"['juice', 'coffee']",juice|coffee,1,2
2,48,persuadable,0.9994598031044006,0.9994598031044006,0.9994598031044006,0.0,0.999864935874939,1.7881393432617188e-07,0.9998647570610046,0.9998651146888733,0.00013506412506103516,0.0002129673957824707,0.9986210465431213,0.9984080791473389,9,16,2,"['vegetable', 'miniature']",vegetable|miniature,2,1.0,"['vegetable', 'miniature']",vegetable|miniature,"['miniature', 'vegetable']",miniature|vegetable,1,2
2,49,esm,0.9999011754989624,0.9999011754989624,0.9999011754989624,0.0,0.9999752640724182,0.0,0.9999752640724182,0.9999752640724182,2.473592758178711e-05,0.0003536343574523926,0.9998882412910461,0.9995346069335938,9,16,2,"['uncle', 'ring']",uncle|ring,2,1.0,"['uncle', 'ring']",uncle|ring,"['uncle', 'ring']",uncle|ring,1,2
2,50,musculoskeletal,0.9993648529052734,0.9993648529052734,0.9993648529052734,0.0,0.9998413324356079,9.42432194506182e-08,0.9998412728309631,0.9998414516448975,0.00015866756439208984,0.00023132562637329102,0.999051034450531,0.9988197088241577,9,16,2,"['sport', 'muscle']",sport|muscle,2,1.0,"['sport', 'muscle']",sport|muscle,"['sport', 'muscle']",sport|muscle,1,2
2,51,stradavarius,0.9992055296897888,0.9992055296897888,0.9992055296897888,0.0,0.999801516532898,1.519626238177807e-07,0.9998013377189636,0.9998016357421875,0.00019848346710205078,0.0002599954605102539,0.9986346364021301,0.9983746409416199,9,16,2,"['appetite', 'pineapple']",appetite|pineapple,2,1.0,"['appetite', 'pineapple']",appetite|pineapple,"['pineapple', 'appetite']",pineapple|appetite,1,2
3,42,very,0.999819278717041,0.9996888041496277,0.9997351169586182,5.962420254945755e-05,0.9999116063117981,1.9968327251262963e-05,0.9998834729194641,0.9999271631240845,8.83936882019043e-05,9.173154830932617e-05,0.9996529817581177,0.9995612502098083,9,16,3,"['rain', 'bag', 'bone']",rain|bag|bone,3,1.0,"['rain', 'bag', 'bone']",rain|bag|bone,"['bone', 'bag', 'rain']",bone|bag|rain,1,3
3,43,rioting,0.9998913407325745,0.9994328022003174,0.9995874762535095,0.00021491770166903734,0.9998624920845032,7.17381844879128e-05,0.9997611045837402,0.9999142289161682,0.00013750791549682617,0.00010442733764648438,0.9987369775772095,0.998632550239563,9,16,3,"['branch', 'chair', 'wine']",branch|chair|wine,3,1.0,"['branch', 'chair', 'wine']",branch|chair|wine,"['chair', 'branch', 'wine']",chair|branch|wine,1,3
3,44,pineweed,0.9994329810142517,0.999191164970398,0.9993314146995544,0.00010244040458928794,0.9997770190238953,3.408374686841853e-05,0.9997433423995972,0.9998237490653992,0.00022298097610473633,0.0001800060272216797,0.9985092282295227,0.998329222202301,9,16,3,"['revealed', 'squid', 'dolphin']",revealed|squid|dolphin,3,1.0,"['revealed', 'squid', 'dolphin']",revealed|squid|dolphin,"['dolphin', 'squid', 'revealed']",dolphin|squid|revealed,1,3
3,45,livingston,0.9993489384651184,0.9991220831871033,0.9992064833641052,0.00010132633178727701,0.9997355341911316,3.370238846400753e-05,0.9996880888938904,0.9997636079788208,0.0002644658088684082,9.047985076904297e-05,0.9984057545661926,0.9983152747154236,9,16,3,"['butter', 'graveyard', 'giant']",butter|graveyard|giant,3,1.0,"['butter', 'graveyard', 'giant']",butter|graveyard|giant,"['graveyard', 'butter', 'giant']",graveyard|butter|giant,1,3
